"lon" "lat" "lm"
"228" 47.5 89.5 0
"229" 48.5 89.5 0
"230" 49.5 89.5 0
"231" 50.5 89.5 0
"232" 51.5 89.5 0
"233" 52.5 89.5 0
"234" 53.5 89.5 0
"235" 54.5 89.5 0
"236" 55.5 89.5 0
"237" 56.5 89.5 0
"238" 57.5 89.5 0
"239" 58.5 89.5 0
"240" 59.5 89.5 0
"241" 60.5 89.5 0
"242" 61.5 89.5 0
"243" 62.5 89.5 0
"244" 63.5 89.5 0
"245" 64.5 89.5 0
"246" 65.5 89.5 0
"247" 66.5 89.5 0
"248" 67.5 89.5 0
"249" 68.5 89.5 0
"250" 69.5 89.5 0
"251" 70.5 89.5 0
"252" 71.5 89.5 0
"253" 72.5 89.5 0
"254" 73.5 89.5 0
"255" 74.5 89.5 0
"256" 75.5 89.5 0
"257" 76.5 89.5 0
"258" 77.5 89.5 0
"259" 78.5 89.5 0
"260" 79.5 89.5 0
"261" 80.5 89.5 0
"262" 81.5 89.5 0
"263" 82.5 89.5 0
"264" 83.5 89.5 0
"265" 84.5 89.5 0
"266" 85.5 89.5 0
"267" 86.5 89.5 0
"268" 87.5 89.5 0
"269" 88.5 89.5 0
"270" 89.5 89.5 0
"271" 90.5 89.5 0
"272" 91.5 89.5 0
"273" 92.5 89.5 0
"274" 93.5 89.5 0
"275" 94.5 89.5 0
"276" 95.5 89.5 0
"277" 96.5 89.5 0
"278" 97.5 89.5 0
"279" 98.5 89.5 0
"280" 99.5 89.5 0
"281" 100.5 89.5 0
"282" 101.5 89.5 0
"283" 102.5 89.5 0
"284" 103.5 89.5 0
"285" 104.5 89.5 0
"286" 105.5 89.5 0
"287" 106.5 89.5 0
"288" 107.5 89.5 0
"289" 108.5 89.5 0
"290" 109.5 89.5 0
"291" 110.5 89.5 0
"292" 111.5 89.5 0
"293" 112.5 89.5 0
"294" 113.5 89.5 0
"295" 114.5 89.5 0
"296" 115.5 89.5 0
"297" 116.5 89.5 0
"298" 117.5 89.5 0
"299" 118.5 89.5 0
"300" 119.5 89.5 0
"301" 120.5 89.5 0
"302" 121.5 89.5 0
"303" 122.5 89.5 0
"304" 123.5 89.5 0
"305" 124.5 89.5 0
"306" 125.5 89.5 0
"307" 126.5 89.5 0
"308" 127.5 89.5 0
"309" 128.5 89.5 0
"310" 129.5 89.5 0
"311" 130.5 89.5 0
"312" 131.5 89.5 0
"313" 132.5 89.5 0
"314" 133.5 89.5 0
"315" 134.5 89.5 0
"316" 135.5 89.5 0
"317" 136.5 89.5 0
"318" 137.5 89.5 0
"319" 138.5 89.5 0
"320" 139.5 89.5 0
"321" 140.5 89.5 0
"322" 141.5 89.5 0
"323" 142.5 89.5 0
"324" 143.5 89.5 0
"325" 144.5 89.5 0
"326" 145.5 89.5 0
"327" 146.5 89.5 0
"328" 147.5 89.5 0
"329" 148.5 89.5 0
"330" 149.5 89.5 0
"331" 150.5 89.5 0
"332" 151.5 89.5 0
"333" 152.5 89.5 0
"334" 153.5 89.5 0
"335" 154.5 89.5 0
"336" 155.5 89.5 0
"337" 156.5 89.5 0
"338" 157.5 89.5 0
"339" 158.5 89.5 0
"340" 159.5 89.5 0
"341" 160.5 89.5 0
"342" 161.5 89.5 0
"343" 162.5 89.5 0
"344" 163.5 89.5 0
"345" 164.5 89.5 0
"346" 165.5 89.5 0
"347" 166.5 89.5 0
"348" 167.5 89.5 0
"349" 168.5 89.5 0
"350" 169.5 89.5 0
"351" 170.5 89.5 0
"352" 171.5 89.5 0
"353" 172.5 89.5 0
"354" 173.5 89.5 0
"355" 174.5 89.5 0
"356" 175.5 89.5 0
"357" 176.5 89.5 0
"358" 177.5 89.5 0
"359" 178.5 89.5 0
"360" 179.5 89.5 0
"361" -179.5 88.5 0
"362" -178.5 88.5 0
"363" -177.5 88.5 0
"364" -176.5 88.5 0
"365" -175.5 88.5 0
"366" -174.5 88.5 0
"367" -173.5 88.5 0
"368" -172.5 88.5 0
"369" -171.5 88.5 0
"370" -170.5 88.5 0
"371" -169.5 88.5 0
"372" -168.5 88.5 0
"373" -167.5 88.5 0
"374" -166.5 88.5 0
"375" -165.5 88.5 0
"376" -164.5 88.5 0
"377" -163.5 88.5 0
"378" -162.5 88.5 0
"379" -161.5 88.5 0
"380" -160.5 88.5 0
"381" -159.5 88.5 0
"382" -158.5 88.5 0
"383" -157.5 88.5 0
"384" -156.5 88.5 0
"385" -155.5 88.5 0
"386" -154.5 88.5 0
"387" -153.5 88.5 0
"388" -152.5 88.5 0
"389" -151.5 88.5 0
"390" -150.5 88.5 0
"391" -149.5 88.5 0
"392" -148.5 88.5 0
"393" -147.5 88.5 0
"394" -146.5 88.5 0
"395" -145.5 88.5 0
"396" -144.5 88.5 0
"397" -143.5 88.5 0
"398" -142.5 88.5 0
"399" -141.5 88.5 0
"400" -140.5 88.5 0
"401" -139.5 88.5 0
"402" -138.5 88.5 0
"403" -137.5 88.5 0
"404" -136.5 88.5 0
"405" -135.5 88.5 0
"406" -134.5 88.5 0
"407" -133.5 88.5 0
"408" -132.5 88.5 0
"409" -131.5 88.5 0
"410" -130.5 88.5 0
"411" -129.5 88.5 0
"412" -128.5 88.5 0
"413" -127.5 88.5 0
"414" -126.5 88.5 0
"415" -125.5 88.5 0
"416" -124.5 88.5 0
"417" -123.5 88.5 0
"418" -122.5 88.5 0
"419" -121.5 88.5 0
"420" -120.5 88.5 0
"421" -119.5 88.5 0
"422" -118.5 88.5 0
"423" -117.5 88.5 0
"424" -116.5 88.5 0
"425" -115.5 88.5 0
"426" -114.5 88.5 0
"427" -113.5 88.5 0
"428" -112.5 88.5 0
"429" -111.5 88.5 0
"430" -110.5 88.5 0
"431" -109.5 88.5 0
"432" -108.5 88.5 0
"433" -107.5 88.5 0
"434" -106.5 88.5 0
"435" -105.5 88.5 0
"436" -104.5 88.5 0
"437" -103.5 88.5 0
"438" -102.5 88.5 0
"439" -101.5 88.5 0
"440" -100.5 88.5 0
"441" -99.5 88.5 0
"442" -98.5 88.5 0
"443" -97.5 88.5 0
"444" -96.5 88.5 0
"445" -95.5 88.5 0
"446" -94.5 88.5 0
"447" -93.5 88.5 0
"448" -92.5 88.5 0
"449" -91.5 88.5 0
"450" -90.5 88.5 0
"451" -89.5 88.5 0
"452" -88.5 88.5 0
"453" -87.5 88.5 0
"454" -86.5 88.5 0
"455" -85.5 88.5 0
"456" -84.5 88.5 0
"457" -83.5 88.5 0
"458" -82.5 88.5 0
"459" -81.5 88.5 0
"460" -80.5 88.5 0
"461" -79.5 88.5 0
"462" -78.5 88.5 0
"463" -77.5 88.5 0
